"Object Count","Layer Name","Object Name","Object Category","Object Type","Attribute Keys","Attribute Texts","Object Keys","Object Texts"
"247","Layer 01","","point","66.38256072998047,79.74939727783203,-19.71017456054688"
"248","Layer 01","","point","64.73535919189453,81.53397369384766,-18.19769859313965"
"249","Layer 01","","point","58.37133407592773,84.95851898193359,-19.71017456054688"
"250","Layer 01","","point","32.83648300170898,96.94368743896484,-18.19769859313965"
"251","Layer 01","","point","31.10815811157227,97.42549133300781,-18.19769859313965"
"252","Layer 01","","point","31.61100006103516,96.74247741699219,-19.71017456054688"
"253","Layer 01","","point","31.10815811157227,97.42549133300781,-18.19769859313965"
"254","Layer 01","","point","25.81203651428223,98.90189361572266,-18.19769859313965"
"255","Layer 01","","point","31.61100006103516,96.74247741699219,-19.71017456054688"
"256","Layer 01","","point","-38.99332046508789,96.94368743896484,-18.19769859313965"
"257","Layer 01","","point","-37.26499557495117,97.42549133300781,-18.19769859313965"
"258","Layer 01","","point","-36.10232543945312,97.23154449462891,-19.71017456054688"
"259","Layer 01","","point","-37.26499557495117,97.42549133300781,-18.19769859313965"
"260","Layer 01","","point","-31.96887397766113,98.90189361572266,-18.19769859313965"
"261","Layer 01","","point","-36.10232543945312,97.23154449462891,-19.71017456054688"
"262","Layer 01","","point","-98.10808563232422,56.13970947265625,-18.19769859313965"
"263","Layer 01","","point","-98.05637359619141,56.20175170898438,-18.19769859313965"
"264","Layer 01","","point","-98.29978942871094,54.99365234375,-19.71017456054688"
"265","Layer 01","","point","-98.05637359619141,56.20175170898438,-18.19769859313965"
"266","Layer 01","","point","-93.43946838378906,61.74162292480469,-18.19769859313965"
"267","Layer 01","","point","-92.17414093017578,62.32788848876953,-19.71017456054688"
"268","Layer 01","","point","-98.29978942871094,54.99365234375,-19.71017456054688"
"269","Layer 01","","point","-98.05637359619141,56.20175170898438,-18.19769859313965"
"270","Layer 01","","point","-92.17414093017578,62.32788848876953,-19.71017456054688"
"271","Layer 01","","point","-102.4299468994141,50.26612854003906,-18.19769859313965"
"272","Layer 01","","point","-102.9236755371094,49.50248718261719,-18.19769859313965"
"273","Layer 01","","point","-103.8233184814453,47.19587707519531,-19.71017456054688"
"274","Layer 01","","point","-102.9236755371094,49.50248718261719,-18.19769859313965"
"275","Layer 01","","point","-106.389289855957,44.14231491088867,-18.19769859313965"
"276","Layer 01","","point","-103.8233184814453,47.19587707519531,-19.71017456054688"
"277","Layer 01","","point","-118.3333892822266,17.60361480712891,-18.19769859313965"
"278","Layer 01","","point","-118.8151931762695,15.87528991699219,-18.19769859313965"
"279","Layer 01","","point","-119.4540023803711,11.64615631103516,-19.71017456054688"
"280","Layer 01","","point","-118.8151931762695,15.87528991699219,-18.19769859313965"
"281","Layer 01","","point","-120.2915954589844,10.57916831970215,-18.19769859313965"
"282","Layer 01","","point","-119.4540023803711,11.64615631103516,-19.71017456054688"
"283","Layer 01","","point","-75.16806793212891,-115.1445007324219,-18.19769859313965"
